,Area,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
223," Bronte, NSW, Australia",-33.904212799999996,151.2637774,3,4,0,34,3,15,8,1,5,1
224," North Bondi, NSW, Australia",-33.882351,151.2768611,6,4,0,56,15,21,11,5,36,8
225," Waverly, NSW, Australia",-31.873660600000004,151.0787542,0,0,0,0,0,0,0,0,0,0
226,"Dover Heights, NSW, Australia",-33.873983100000004,151.2810366,2,3,0,13,1,3,5,2,5,6
227," Artarmon, NSW, Australia",-33.8094124,151.18576090000002,1,3,0,34,5,10,19,3,22,8
228," Naremburn, NSW, Australia",-33.8171309,151.2020304,7,8,0,74,7,25,32,4,31,11
229," Northbridge, NSW, Australia",-33.811111100000005,151.2175,2,1,0,14,1,8,7,0,8,5
230,"Bargo, NSW, Australia",-34.293746999999996,150.5817842,0,1,0,5,2,0,10,0,7,2
231," Appin, NSW, Australia",-34.2029671,150.78724409999998,0,0,0,4,2,2,7,0,5,0
232," Buxton, NSW, Australia",-34.25591995,150.5309233,0,0,0,1,0,1,1,0,2,1
233," Oakdale, NSW, Australia",-34.0793269,150.50626609999998,0,0,0,0,0,1,0,0,0,0
234," Silverdale, NSW, Australia",-33.9252883,150.59434280000002,0,0,0,1,0,0,0,0,0,0
235," Bellevue Hill, NSW, Australia",-33.879712299999994,151.25619880000002,1,10,0,13,2,7,4,0,14,3
236," Moore Park, NSW, Australia",-33.8958333,151.2219444,14,5,0,52,12,28,42,11,42,5
237," Watsons Bay, NSW, Australia",-33.8432736,151.2825736,0,0,0,7,2,20,6,0,4,4
238,"Woollahra, NSW, Australia",-33.86179175,151.2733416,4,0,0,17,2,8,6,2,9,14
